Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,Class
28395,610291,208.1781167,173.888747,1.197191424,0.549812187,28715,SEKER
28734,638018,200.5247957,182.7344194,1.097356461,0.411785251,29172,SEKER
29380,624.11,212.8261299,175.9311426,1.209712656,0.562727317,29690,SEKER
30008,645884,210.557999,182.5165157,1.153638059,0.498615976,30724,SEKER
30140,620134,201.8478822,190.2792788,1.06079802,0.333679658,30417,SEKER
30279,634927,212.5605564,181.5101816,1.171066849,0.52040066,30600,SEKER
30477,670033,211.0501553,184.0390501,1.146768336,0.489477894,30970,SEKER
30519,629727,212.9967551,182.7372038,1.165590535,0.513759558,30847,SEKER
30685,635681,213.5341452,183.1571463,1.165852108,0.51408086,31044,SEKER
30834,631934,217.2278128,180.8974686,1.2008339,0.553642225,31120,SEKER
30917,640765,213.5600894,184.4398709,1.157884618,0.504102365,31280,SEKER
31091,638558,210.4862549,188.3268476,1.117664622,0.446621924,31458,SEKER
31107,640594,214.6485485,184.9692526,1.160455295,0.507365875,31423,SEKER
31158,642626,216.4848362,183.6443122,1.178826797,0.529514251,31492,SEKER
31158,641105,212.0669751,187.1929601,1.132879009,0.469924157,31474,SEKER
31178,636888,212.9759252,186.5620882,1.141582018,0.482352224,31520,SEKER
31202,644454,215.6406947,184.4716842,1.168963657,0.517871223,31573,SEKER
31203,639782,215.067737,184.8748759,1.163315112,0.510946829,31558,SEKER
31272,638666,212.4503189,187.535939,1.132851229,0.469883494,31593,SEKER
31335,635011,216.7900923,184.1634403,1.177161395,0.52758671,31599,SEKER
31374,636401,219.865394,182.0088637,1.207992784,0.56099452,31604,SEKER
31530,638857,213.7856543,188.0664823,1.136755746,0.475535642,31791,SEKER
31573,674103,217.3070261,185.4482507,1.171793345,0.52126839,32197,SEKER
31637,656711,229.7192546,175.510446,1.308863717,0.645190802,32045,SEKER
31675,657431,236.7526321,171.2105592,1.3828156,0.690678219,32009,SEKER
31682,646721,210.0456816,192.2484159,1.092574316,0.402841974,32026,SEKER
31703,656305,215.7089067,187.2724497,1.151845384,0.496263281,32093,SEKER
31748,641826,219.7765183,184.1151053,1.193690859,0.546072628,32020,SEKER
31768,650954,220.9594949,183.2920681,1.205504947,0.558465259,32173,SEKER
31811,642092,223.9846829,180.9171228,1.238051321,0.589564969,32052,SEKER
31821,649681,213.7356452,189.9692019,1.125106823,0.458286561,32168,SEKER
31823,662532,222.8726889,181.8946963,1.225284154,0.57785815,32274,SEKER
31837,656404,224.9125542,180.4394219,1.246471264,0.596968354,32238,SEKER
31915,640718,216.3203615,188.0653069,1.150240653,0.494138341,32184,SEKER
31972,639974,213.6874805,190.6449473,1.120866215,0.451705439,32246,SEKER
31992,640338,212.8873637,191.4872537,1.111757361,0.436968432,32258,SEKER
31994,654535,212.1713961,192.4225318,1.102632806,0.421302377,32391,SEKER
32015,653676,212.9299893,191.8101346,1.110108127,0.43420694,32375,SEKER
32026,654237,230.9790674,176.9318083,1.305469433,0.642831065,32349,SEKER
32038,645085,224.4823211,181.9408668,1.233820224,0.5857513,32308,SEKER
32044,652651,216.1471468,188.9705403,1.143813985,0.48544352,32395,SEKER
32057,642082,215.9182853,189.3033869,1.140593884,0.48097147,32301,SEKER
