visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,precipType,humidity,summary
5.97,104,10.24,8.86,1016.76,10.24,2.77,1,0.91,Partly Cloudy
4.88,99,9.76,8.83,1016.63,8.24,2.95,1,0.94,Partly Cloudy
3.7,98,9.46,8.79,1016.36,7.76,3.17,1,0.96,Partly Cloudy
3.12,99,9.23,8.63,1016.28,7.44,3.25,1,0.96,Foggy
1.85,111,9.26,9.21,1015.98,7.24,3.7,1,1,Foggy
1.96,115,9.33,8.87,1015.91,7.19,3.97,1,0.97,Foggy
1.3,118,9.31,8.82,1015.7,7.1,4.1,1,0.97,Foggy
1.22,114,8.85,8.69,1016.08,6.48,4.23,1,0.99,Foggy
1.4,120,9.13,8.75,1016.33,6.84,4.2,1,0.97,Foggy
1.38,121,9.23,8.7,1016.57,7.07,3.96,1,0.97,Foggy
1.35,115,9.21,8.76,1016.26,6.96,4.16,1,0.97,Foggy
1.72,127,9.78,9.23,1016.17,7.68,4.14,1,0.96,Foggy
1.83,129,9.91,9.34,1015.92,7.91,3.97,1,0.96,Foggy
2.53,120,10.22,9.73,1015.49,10.22,4.25,1,0.97,Foggy
3.67,122,10.63,9.73,1015.1,10.63,4.28,1,0.94,Mostly Cloudy
3.77,126,10.34,9.7,1015.32,10.34,4.3,1,0.96,Mostly Cloudy
3.99,121,10.31,9.66,1015.13,10.31,4.8,1,0.96,Mostly Cloudy
4.02,129,10.39,9.73,1015.41,10.39,4.13,1,0.96,Mostly Cloudy
4.17,130,10.79,9.79,1015.62,10.79,4.41,1,0.94,Mostly Cloudy
4.36,136,10.87,9.86,1015.91,10.87,4.69,1,0.94,Mostly Cloudy
5.1,140,11.28,9.99,1016.08,11.28,4.64,1,0.92,Mostly Cloudy
6.08,143,11.52,10.38,1016.48,11.52,4.25,1,0.93,Mostly Cloudy
5.25,144,11.93,10.5,1016.95,11.93,4,1,0.91,Mostly Cloudy
4.6,156,11.96,10.98,1017.5,11.96,3.48,1,0.94,Overcast
12.5,210,2.83,1.17,1015.67,1.11,1.78,1,0.89,Partly Cloudy
12.65,204,2.48,0.81,1014.96,0.31,2.11,1,0.89,Clear
13.02,214,2.7,1.29,1014.42,0.11,2.57,1,0.9,Clear
13.05,211,3.47,1.41,1013.78,0.66,3,1,0.86,Partly Cloudy
12.97,204,3.74,1.53,1012.94,1.29,2.64,1,0.85,Partly Cloudy
12.68,201,4.23,2.48,1012.42,1.82,2.7,1,0.88,Mostly Cloudy
12.54,199,5.16,3.01,1011.74,3.03,2.57,1,0.86,Mostly Cloudy
12.5,198,4.98,3.13,1011.26,2.39,3.12,1,0.88,Partly Cloudy
